OF072522,Cage 9,3526113,Batch 1,Phase 1,4,9:22:11 AM,300,872.04,194.95,367.35,1229,1191,93.55,49,206.45,49,28.16,41.05,2,5.55,15,38,558,31,52,21.05,2,3,11.48,22.87,20.38,On,On
OF072522,Cage 10,3526086,Batch 1,Phase 1,1,9:07:48 AM,300,943.5,230.19,266.07,1614,1533,34.42,26,265.58,27,34.72,53.27,2,12.35,33,81,904,19,26,8.45,2,4,9.92,18.7,14.68,On,On
OF072522,Cage 10,3526086,Batch 1,Phase 1,2,9:12:48 AM,300,719.92,115.89,149.23,1553,1465,60.27,41,239.73,42,24.63,46.65,2,12.27,37,88,1004,21,31,8.78,4,3,9.83,21.56,13.51,On,On
OF072522,Cage 10,3526086,Batch 1,Phase 1,3,9:17:48 AM,300,669.19,166.05,106.05,1321,1239,66.3,40,233.7,40,23.99,68.14,0,10.47,39,82,700,20,31,5.14,1,1,9.72,18.13,13.29,On,On
OF072522,Cage 10,3526086,Batch 1,Phase 1,4,9:22:48 AM,300,864.31,229.55,212.73,1583,1524,50.24,34,249.76,35,27.44,62.25,1,10.28,25,59,814,25,41,11.63,3,5,10.02,16.77,17.09,On,On
OF072522,Cage 11,3526059,Batch 1,Phase 1,1,9:08:00 AM,300,785.55,205.11,312.74,1295,1203,65.77,45,234.23,46,27.77,52.34,5,17.88,37,92,862,23,40,10.85,4,3,10.16,21.08,14.14,On,On
OF072522,Cage 11,3526059,Batch 1,Phase 1,2,9:13:00 AM,300,827.54,214.31,250.83,1147,1092,84.05,52,215.95,53,24.56,49.04,3,6.03,27,55,513,40,65,19.62,4,4,10.13,19.51,12.96,On,On
OF072522,Cage 11,3526059,Batch 1,Phase 1,3,9:18:00 AM,300,904.31,277.18,241.94,1123,1071,94.22,55,205.78,56,25.86,46.01,0,7.66,22,52,418,40,76,21.73,4,3,10.94,19.39,15.22,On,On
OF072522,Cage 11,3526059,Batch 1,Phase 1,4,9:23:00 AM,300,755.12,224.47,198.44,989,937,115.32,55,184.68,56,24.92,61.04,2,11.71,22,52,374,34,47,8.97,6,1,9.88,20.72,14.52,On,On
OF072522,Cage 12,3526435,Batch 1,Phase 1,1,9:08:58 AM,300,981.63,293.69,241.62,1659,1597,47.7,28,252.3,29,29.64,58.06,4,8.8,31,62,1037,24,40,12.67,6,1,10.79,27.24,15.49,On,On
OF072522,Cage 12,3526435,Batch 1,Phase 1,2,9:13:58 AM,300,764.97,153.99,168.28,1386,1299,60.29,38,239.72,39,25.18,57.66,1,12.86,37,87,686,34,54,11.05,1,6,8.68,21.67,13.9,On,On
OF072522,Cage 12,3526435,Batch 1,Phase 1,3,9:18:58 AM,300,805.41,254,184.15,1434,1379,85.16,52,214.85,53,24.06,61.66,2,10.63,17,55,684,51,89,19.6,2,3,11.37,21.23,15.06,On,On
OF072522,Cage 12,3526435,Batch 1,Phase 1,4,9:23:58 AM,300,845.97,184.15,217.49,1316,1228,89.84,51,210.16,52,21.9,51.99,2,17.91,39,88,657,36,58,11.72,0,8,9.78,19.69,14.2,On,On
OF072522,Cage 2,3526408,Batch 2,Phase 1,1,9:54:01 AM,300,626.38,206.06,182.25,1005,946,91.04,59,208.96,60,27.35,53.78,7,9.09,28,59,465,11,11,0.16,3,3,7.5,13.67,13.48,On,On
OF072522,Cage 2,3526408,Batch 2,Phase 1,2,9:59:01 AM,300,404.5,81.6,104.14,716,673,126.41,68,173.59,69,18.47,36.4,3,10.7,24,43,268,11,17,4.84,3,1,6.13,17.96,7.62,On,On
OF072522,Cage 2,3526408,Batch 2,Phase 1,3,10:04:01 AM,300,627.44,156.53,184.79,959,897,91.95,54,208.05,54,25.68,54.41,2,13.7,25,62,425,18,26,8.73,3,2,7.65,20.76,13.22,On,On
OF072522,Cage 2,3526408,Batch 2,Phase 1,4,10:09:01 AM,300,582.92,179.71,119.7,986,926,76.78,41,223.22,41,24.49,41.62,2,9.63,29,60,437,16,20,5.58,2,2,7.88,22.88,9.61,On,On
OF072522,Cage 3,3526381,Batch 2,Phase 1,1,9:54:16 AM,300,801.29,188.38,243.21,1422,1330,77.47,47,222.53,47,26.83,62.84,4,13.89,41,92,847,40,61,13.64,1,3,9.29,25.12,14.44,On,On
OF072522,Cage 3,3526381,Batch 2,Phase 1,2,9:59:16 AM,300,649.43,156.85,170.82,1057,1000,106.5,56,193.5,57,23.91,50.69,1,9.1,28,57,441,37,64,10.03,2,4,10.16,20.65,15.94,On,On
OF072522,Cage 3,3526381,Batch 2,Phase 1,3,10:04:16 AM,300,813.86,162.24,250.51,1183,1138,98.41,61,201.59,62,26.54,53.56,2,7.19,26,45,450,41,53,15.04,3,1,11.1,23.3,14.26,On,On
OF072522,Cage 3,3526381,Batch 2,Phase 1,4,10:09:16 AM,300,796.72,186.37,252.1,1125,1085,104.43,55,195.57,56,25.8,43.3,0,6.75,21,40,504,37,48,10.11,4,4,10.76,21.13,14.79,On,On
OF072522,Cage 4,3526676,Batch 2,Phase 1,1,9:55:39 AM,300,87.31,8.89,13.34,299,258,204.45,69,95.55,70,8.28,136.76,2,6.5,20,41,119,3,6,1.23,0,1,4.18,8.98,5.95,On,On
OF072522,Cage 4,3526676,Batch 2,Phase 1,2,10:00:39 AM,300,538.74,151.77,118.11,857,821,121.37,57,178.63,58,17.23,62.65,0,4.4,22,36,367,10,16,5.71,2,2,7.24,16.44,13.53,On,On
OF072522,Cage 4,3526676,Batch 2,Phase 1,3,10:05:39 AM,300,284.57,43.5,60.64,694,627,121.75,70,178.25,71,14.31,33.44,0,13.05,36,67,310,14,32,13.72,1,0,6.02,17.21,6.35,On,On
